date,price,ret_1d,vol_7d,vol_30d,vol_90d,month,day_of_week,vol_regime
2021-12-17,46131.2,-0.03202327139996514,0.782749748133182,0.7259887644855627,0.705821332731198,12,4,high
2021-12-18,46834.48,0.015130173120065147,0.6884618266107794,0.7075482530559093,0.7051448110478832,12,5,high
2021-12-19,46681.23,-0.0032775271061218484,0.6678524848930182,0.701116239937663,0.6789359404132417,12,6,high
2021-12-20,46914.16,0.00497739217481098,0.4444290339739684,0.6909923950699024,0.6695326531201935,12,0,high
2021-12-21,48889.88,0.041250873237454126,0.47707818421073245,0.710787834150127,0.6612944251261592,12,1,high
2021-12-22,48588.16,-0.0061905422711137255,0.47301601039863717,0.6992957000633137,0.65887965461996,12,2,high
2021-12-23,50838.81,0.04528015945422746,0.5216899445465901,0.7147463258392908,0.6576181644926886,12,3,high
2021-12-24,50820.0,-0.0003700613889668522,0.40649224067019096,0.7147836197696937,0.6575502890725166,12,4,high
2021-12-25,50399.66,-0.008305548869195585,0.4360772824742587,0.7034324419883526,0.6575839067073788,12,5,high
2021-12-26,50775.49,0.007429328815574095,0.4221593521216484,0.6290768575752819,0.6556233612795859,12,6,mid
2021-12-27,50701.44,-0.0014594452777345129,0.43114580241618156,0.6248419280897347,0.653000128537191,12,0,mid
2021-12-28,47543.74,-0.06430418312979821,0.6160538929520937,0.6357506569700523,0.666317393417981,12,1,mid
2021-12-29,46464.66,-0.02295810578396181,0.6314067455459785,0.6359928188018621,0.6594713377482412,12,2,mid
2021-12-30,47120.87,0.01402397902343454,0.5031353400178189,0.639696123733993,0.6321669790088547,12,3,mid
2021-12-31,46216.93,-0.019369821492674983,0.49773930617207873,0.6401263791777332,0.6330038993388434,12,4,mid
2022-01-01,47722.65,0.03205994678177879,0.5987709152568689,0.6541255243046497,0.6359055904771715,1,5,mid
2022-01-02,47286.18,-0.009188052743592882,0.5849282806617104,0.6322989039564687,0.6346947157069893,1,6,mid
2022-01-03,46446.1,-0.01792557472959721,0.5820881335105306,0.5609019755960878,0.6289485232795524,1,0,mid
2022-01-04,45832.01,-0.013309745191831738,0.39134908416087383,0.5617159860037149,0.6114803513031697,1,1,mid
2022-01-05,43451.13,-0.0533458970167032,0.5165437720019103,0.5820962149846843,0.6179729913661484,1,2,mid
2022-01-06,43082.31,-0.00852438625717462,0.47809570526011963,0.5815132679699246,0.6179948927762158,1,3,mid
2022-01-07,41566.48,-0.03581839879060997,0.505796257390733,0.5909764089595744,0.6201263883803587,1,4,mid
2022-01-08,41679.74,0.0027210861918856148,0.36358344042831503,0.5594648720990757,0.6202200624544186,1,5,mid
2022-01-09,41864.62,0.00442591939892638,0.39834034388476425,0.5600801321415005,0.6109041583960153,1,6,mid
2022-01-10,41822.49,-0.0010068457032168852,0.4153455747531818,0.5297733019703618,0.6092050976791421,1,0,mid
2022-01-11,42729.29,0.02145040043967803,0.49252125932936935,0.5341436227210414,0.608727213897005,1,1,mid
2022-01-12,43902.66,0.027090276943410884,0.39481283723747707,0.4929542635917163,0.6117679855241323,1,2,mid
2022-01-13,42560.11,-0.03105748088409937,0.4580075365760337,0.4847016522500447,0.5945783744081229,1,3,mid
2022-01-14,43059.96,0.011676133382902501,0.3612222074747209,0.4850792384589385,0.5951432684167848,1,4,mid
2022-01-15,43084.29,0.0005648665034966843,0.3623989300530677,0.47914055802401306,0.5944803599738537,1,5,mid
2022-01-16,43071.66,-0.0002931892710942959,0.3642410252995814,0.4678879986228435,0.5940474519562869,1,6,low
2022-01-17,42201.62,-0.020406631301085873,0.40528544542210626,0.46765705625696496,0.5893034486006339,1,0,low
2022-01-18,42352.12,0.0035598699462948903,0.37021777273779943,0.4683005354980757,0.5861465614084747,1,1,low
2022-01-19,41660.01,-0.016476803005825883,0.2927847164053229,0.4695374684166205,0.5760628691356053,1,2,low
2022-01-20,40680.91,-0.023782735226194826,0.2600449235684586,0.44487232799089405,0.5759629776132248,1,3,low
2022-01-21,36445.31,-0.109946159879111,0.7554352171385993,0.5736324263400816,0.613102055146691,1,4,mid
2022-01-22,35071.42,-0.038426226985850784,0.7309227232619929,0.546530817910855,0.6166151997482979,1,5,mid
2022-01-23,36244.55,0.032902471390134344,0.8421683109941464,0.5676447603762045,0.6157963010859517,1,6,mid
2022-01-24,36660.35,0.011406764386201865,0.8823037147721332,0.5730772912380127,0.6117796378664596,1,0,mid
2022-01-25,36958.32,0.008095001638556682,0.8902764460251835,0.5733456587022635,0.6099441868259768,1,1,mid
2022-01-26,36809.34,-0.004039173875103207,0.8973150724308678,0.5728991711792099,0.6040863296270172,1,2,mid
2022-01-27,37160.1,0.009483987687842301,0.9155306573359013,0.5429936016861755,0.6011685415322578,1,3,mid
2022-01-28,37716.56,0.014863650295472364,0.4210355271811449,0.5460849468592087,0.6025954748333628,1,4,mid
2022-01-29,38166.84,0.011867820497437117,0.20990409047810044,0.5450933743152345,0.6035604634580617,1,5,mid
