Scenario,Mean,Median,Std,5%,P(V_T < V0)
Base,262.72827083914916,216.46385584015337,181.83331855189786,78.31225540657162,0.10636
Optimistic,332.7505160104897,284.24450642189606,201.4503635344742,114.08069021927004,0.0296
Stagnation,161.5447398631123,148.1165601334405,69.94019676020379,74.86978792788162,0.1688
Crisis,77.87567201457313,45.97010374967198,103.48450044636624,8.549626021287574,0.7724
